词语	词性	词频	一元概率
服务	v	61	0.000403
美元	q	61	0.000403
生产	vn	61	0.000403
数据	n	61	0.000403
措施	n	60	0.000396
各项	r	60	0.000396
纳入	v	60	0.000396
拓展	v	60	0.000396
需求	n	60	0.000396
制造业	n	60	0.000396
总额	n	60	0.000396
2008年	t	59	0.00039
保持	v	59	0.00039
市民	n	59	0.00039
稳定	an	59	0.00039
加上	v	58	0.000383
群众	n	58	0.000383
人口	n	58	0.000383
消费	vn	58	0.000383
采购	vn	57	0.000377
大力	d	57	0.000377
活动	vn	57	0.000377
适用	a	57	0.000377
比例	n	56	0.00037
部分	n	56	0.00037
回复	v	56	0.00037
节能	vi	56	0.00037
评价	vn	56	0.00037
人才	n	56	0.00037
上述	b	56	0.00037
实行	v	56	0.00037
外资	n	56	0.00037
要求	v	56	0.00037
增加值	n	56	0.00037
调查	vn	55	0.000363
调整	v	55	0.000363
就业	vn	55	0.000363
维护	v	55	0.000363
应急	vn	55	0.000363
用户	n	55	0.000363
减少	v	54	0.000357
能源	n	54	0.000357
设备	n	54	0.000357
信访	n	54	0.000357
会计	n	53	0.00035
建筑	n	53	0.00035
困难	an	53	0.00035
战略	n	53	0.00035
包括	v	52	0.000344
成本	n	52	0.000344
存在	v	52	0.000344
研发	v	52	0.000344
园区	n	52	0.000344
地区	n	51	0.000337
管理	v	51	0.000337
小区	n	51	0.000337
总量	n	51	0.000337
财务	n	50	0.00033
档案	n	50	0.00033
共享	v	50	0.00033
共有	v	50	0.00033
郊区	s	50	0.00033
结余	n	50	0.00033
就业	vi	50	0.00033
模式	n	50	0.00033
信件	n	50	0.00033
研究	vn	50	0.00033
融资	vn	49	0.000324
业主	n	49	0.000324
2013年	t	48	0.000317
覆盖	v	48	0.000317
构建	v	48	0.000317
深入	ad	48	0.000317
现代	t	48	0.000317
运营	vn	48	0.000317
国库	n	47	0.000311
及时	ad	47	0.000311
浦东	ns	47	0.000311
探索	v	47	0.000311
办理	v	46	0.000304
财力	n	46	0.000304
符合	v	46	0.000304
汽车	n	46	0.000304
任务	n	46	0.000304
如下	vi	46	0.000304
十一五	m	46	0.000304
职业	n	46	0.000304
财政部	nt	45	0.000297
机关	n	45	0.000297
建议	n	45	0.000297
审批	vn	45	0.000297
新增	v	45	0.000297
指标	n	45	0.000297
资产	n	45	0.000297
贷款	n	44	0.000291
费用	n	44	0.000291
改革	v	44	0.000291
坚持	v	44	0.000291
批准	v	44	0.000291
同时	c	44	0.000291
相应	vd	44	0.000291
新建	v	44	0.000291
资本	n	44	0.000291
组织	n	44	0.000291
环保	n	43	0.000284
年初	t	43	0.000284
期间	f	43	0.000284
报告	n	42	0.000278
当年	t	42	0.000278
附加	vn	42	0.000278
购买	v	42	0.000278
合作	vn	42	0.000278
会议	n	42	0.000278
示范	vn	42	0.000278
数字	n	42	0.000278
银行	n	42	0.000278
增值税	n	42	0.000278
政务	n	42	0.000278
自主	vd	42	0.000278
保护	vn	41	0.000271
充分	ad	41	0.000271
调控	vn	41	0.000271
个人	n	41	0.000271
公交	b	41	0.000271
旅游	vn	41	0.000271
启动	v	41	0.000271
收费	vn	41	0.000271
体育	n	41	0.000271
营业税	n	41	0.000271
责任	n	41	0.000271
比重	n	40	0.000264
方案	n	40	0.000264
核心	n	40	0.000264
互联网	n	40	0.000264
结转	v	40	0.000264
具有	v	40	0.000264
商业	n	40	0.000264
上半年	t	40	0.000264
收益	n	40	0.000264
销售	vn	40	0.000264
依法	d	40	0.000264
2014年	t	39	0.000258
补贴	vn	39	0.000258
财税	n	39	0.000258
参与	v	39	0.000258
产业化	vn	39	0.000258
分配	vn	39	0.000258
改造	v	39	0.000258
岗位	n	39	0.000258
目前	t	39	0.000258
认真	ad	39	0.000258
商品房	n	39	0.000258
乡镇	n	39	0.000258
以下	f	39	0.000258
主管	vn	39	0.000258
安置	vn	38	0.000251
持平	vi	38	0.000251
建成	v	38	0.000251
贸易	vn	38	0.000251
年末	t	38	0.000251
培训	vn	38	0.000251
软件	n	38	0.000251
同志	n	38	0.000251
为主	vi	38	0.000251
有效	ad	38	0.000251
支付	vn	38	0.000251
直接	ad	38	0.000251
指导	vn	38	0.000251
国务院	nt	37	0.000244
绿地	n	37	0.000244
评估	vn	37	0.000244
确定	v	37	0.000244
使用权	n	37	0.000244
通知	n	37	0.000244
引导	v	37	0.000244
原则	n	37	0.000244
转型	vn	37	0.000244
带动	v	36	0.000238
登记	vn	36	0.000238
法律	n	36	0.000238
公开	vn	36	0.000238
具体	a	36	0.000238
名称	n	36	0.000238
人大	n	36	0.000238
人民	n	36	0.000238
行为	n	36	0.000238
因素	n	36	0.000238
用地	n	36	0.000238
招聘	vn	36	0.000238
智能	n	36	0.000238
重点	d	36	0.000238
安排	vn	35	0.000231
表明	v	35	0.000231
持续	vd	35	0.000231
分别	d	35	0.000231
国内	s	35	0.000231
全部	m	35	0.000231
全国	n	35	0.000231
人次	qv	35	0.000231
人民政府	nl	35	0.000231
市委	n	35	0.000231
协调	ad	35	0.000231
新型	b	35	0.000231
增幅	n	35	0.000231
征收	vn	35	0.000231
担保	vn	34	0.000225
电话	n	34	0.000225
房产	n	34	0.000225
高于	v	34	0.000225
加快	vd	34	0.000225
监测	vn	34	0.000225
开发	v	34	0.000225
空间	n	34	0.000225
努力	ad	34	0.000225
实际	ad	34	0.000225
使用	vn	34	0.000225
同期	f	34	0.000225
物流	n	34	0.000225
协调	v	34	0.000225
严格	ad	34	0.000225
移动	vn	34	0.000225
装备	n	34	0.000225
编制	n	33	0.000218
程序	n	33	0.000218
风险	n	33	0.000218
高校	n	33	0.000218
国民经济	n	33	0.000218
面向	v	33	0.000218
若干	m	33	0.000218
设计	vn	33	0.000218
食品	n	33	0.000218
统一	vn	33	0.000218
信用	n	33	0.000218
需要	v	33	0.000218
债券	n	33	0.000218
咨询	v	33	0.000218
采取	v	32	0.000211
各级	r	32	0.000211
更加	d	32	0.000211
环节	n	32	0.000211
集团	n	32	0.000211
聚焦	vn	32	0.000211
可以	v	32	0.000211
普通	a	32	0.000211
人均	a	32	0.000211
时期	n	32	0.000211
文件	n	32	0.000211
医院	n	32	0.000211
职能	n	32	0.000211
做好	v	32	0.000211
答复	v	31	0.000205
到位	vi	31	0.000205
法规	n	31	0.000205
国资	n	31	0.000205
交易	vn	31	0.000205
科目	n	31	0.000205
渠道	n	31	0.000205
生产总值	n	31	0.000205
实际	n	31	0.000205
市政	n	31	0.000205
同时	n	31	0.000205
统筹	vd	31	0.000205
投诉	vn	31	0.000205
先进	a	31	0.000205
运行	vi	31	0.000205
征管	vn	31	0.000205
知识	n	31	0.000205
左右	m	31	0.000205
动迁	vn	30	0.000198
反馈	v	30	0.000198
监控	vn	30	0.000198
劳动	vn	30	0.000198
良好	a	30	0.000198
培育	v	30	0.000198
牵头	vd	30	0.000198
实施	vn	30	0.000198
维修	vn	30	0.000198
作为	v	30	0.000198
拨付	v	29	0.000192
财政局	nt	29	0.000192
成为	v	29	0.000192
低于	v	29	0.000192
关键	n	29	0.000192
控制	vn	29	0.000192
配套	a	29	0.000192
引进	v	29	0.000192
影响	vn	29	0.000192
总部	n	29	0.000192
2012年	t	28	0.000185
8月	t	28	0.000185
部署	vn	28	0.000185
处理	vn	28	0.000185
合计	v	28	0.000185
检查	vn	28	0.000185
缴纳	v	28	0.000185
截至	v	28	0.000185
结算	vn	28	0.000185
居住	v	28	0.000185
率先	d	28	0.000185
矛盾	an	28	0.000185
上涨	vi	28	0.000185
网站	n	28	0.000185
位置	n	28	0.000185
效益	n	28	0.000185
一体化	vn	28	0.000185
一些	mq	28	0.000185
账户	n	28	0.000185
证书	n	28	0.000185
支撑	vn	28	0.000185
转变	vn	28	0.000185
表示	v	27	0.000178
材料	n	27	0.000178
出台	vi	27	0.000178
典型	n	27	0.000178
发布	v	27	0.000178
反馈	vn	27	0.000178
轨道	n	27	0.000178
控制	v	27	0.000178
前期	f	27	0.000178
认证	vn	27	0.000178
生态	n	27	0.000178
受理	v	27	0.000178
预计	v	27	0.000178
支撑	v	27	0.000178
专员	n	27	0.000178
第三	m	26	0.000172
第三产业	nl	26	0.000172
调节	vn	26	0.000172
老人	n	26	0.000172
融合	vn	26	0.000172
事项	n	26	0.000172
适应	v	26	0.000172
突出	a	26	0.000172
污水	n	26	0.000172
优惠	vn	26	0.000172
运输	vn	26	0.000172
运用	v	26	0.000172
造成	v	26	0.000172
主题	n	26	0.000172
资料	n	26	0.000172
1月	t	25	0.000165
补偿	vn	25	0.000165
筹集	v	25	0.000165
存量	n	25	0.000165
道路	n	25	0.000165
扶持	vn	25	0.000165
高新技术	n	25	0.000165
公开	v	25	0.000165
管理局	n	25	0.000165
规范	n	25	0.000165
集聚	vn	25	0.000165
农民	n	25	0.000165
平稳	ad	25	0.000165
审计局	nt	25	0.000165
同比	n	25	0.000165
委员会	n	25	0.000165
职工	n	25	0.000165
中长期	n	25	0.000165
注重	v	25	0.000165
转变	v	25	0.000165
长三角	nz	24	0.000159
城区	n	24	0.000159
出口	vn	24	0.000159
导向	n	24	0.000159
调查	v	24	0.000159
发放	v	24	0.000159
法定	b	24	0.000159
覆盖面	n	24	0.000159
公路	n	24	0.000159
公益性	n	24	0.000159
航运	n	24	0.000159
宏观	n	24	0.000159
集中	ad	24	0.000159
降低	v	24	0.000159
精神	n	24	0.000159
满足	v	24	0.000159
去年	t	24	0.000159
日常	b	24	0.000159
试点	n	24	0.000159
受益	vi	24	0.000159
投入	v	24	0.000159
协同	vd	24	0.000159
行动	vn	24	0.000159
招投标	n	24	0.000159
转移	vn	24	0.000159
自主	vn	24	0.000159
百分点	n	23	0.000152
办公	vn	23	0.000152
成果	n	23	0.000152
代表	n	23	0.000152
得到	v	23	0.000152
电视	n	23	0.000152
公务	n	23	0.000152
公益金	n	23	0.000152
关系	n	23	0.000152
规范	a	23	0.000152
计算	v	23	0.000152
考虑	v	23	0.000152
科学	n	23	0.000152
累计	vd	23	0.000152
我们	rr	23	0.000152
新区	n	23	0.000152
新兴	b	23	0.000152
应用	v	23	0.000152
有待	v	23	0.000152
预警	vn	23	0.000152
整治	vn	23	0.000152
标准化	vn	22	0.000145
承办	v	22	0.000145
处置	vn	22	0.000145
大学	n	22	0.000145
对象	n	22	0.000145
公开	ad	22	0.000145
公用事业	nl	22	0.000145
固定资产	nl	22	0.000145
户籍	n	22	0.000145
基层	n	22	0.000145
开工	vi	22	0.000145
开工	vn	22	0.000145
明确	a	22	0.000145
配合	v	22	0.000145
外商	n	22	0.000145
无线	b	22	0.000145
一个	mq	22	0.000145
医药	n	22	0.000145
由于	c	22	0.000145
有利于	v	22	0.000145
2009年	t	21	0.000139
报表	n	21	0.000139
残疾人	n	21	0.000139
福利	n	21	0.000139
给予	vx	21	0.000139
公有	b	21	0.000139
获得	v	21	0.000139
积极	a	21	0.000139
决策	vn	21	0.000139
考核	vn	21	0.000139
联网	vi	21	0.000139
零售额	n	21	0.000139
人数	n	21	0.000139
申报	vn	21	0.000139
市容	n	21	0.000139
收缴	v	21	0.000139
特别	d	21	0.000139
体现	v	21	0.000139
享受	v	21	0.000139
信息化	v	21	0.000139
修缮	vn	21	0.000139
执法	vn	21	0.000139
中国	ns	21	0.000139
主体	n	21	0.000139
专场	n	21	0.000139
专款	n	21	0.000139
1日	t	20	0.000132
2007年	t	20	0.000132
彩票	n	20	0.000132
出口	vi	20	0.000132
出售	v	20	0.000132
第二	m	20	0.000132
动态	n	20	0.000132
分析	vn	20	0.000132
跟踪	vd	20	0.000132
合理	a	20	0.000132
嘉定区	ns	20	0.000132
科学	a	20	0.000132
联动	vn	20	0.000132
明确	v	20	0.000132
明显	ad	20	0.000132
能级	n	20	0.000132
其它	rz	20	0.000132
驱动	vn	20	0.000132
事件	n	20	0.000132
枢纽	n	20	0.000132
学生	n	20	0.000132
战略性	n	20	0.000132
整合	vn	20	0.000132
职责	n	20	0.000132
总计	v	20	0.000132
常委会	n	19	0.000126
动用	v	19	0.000126
多种	m	19	0.000126
工资	n	19	0.000126
和谐	a	19	0.000126
互动	v	19	0.000126
及其	cc	19	0.000126
紧紧	d	19	0.000126
进度	n	19	0.000126
酒店	n	19	0.000126
举报	vn	19	0.000126
竣工	vi	19	0.000126
流程	n	19	0.000126
契税	n	19	0.000126
全球	n	19	0.000126
融合	v	19	0.000126
上报	vi	19	0.000126
水利	n	19	0.000126
税务	n	19	0.000126
推广	v	19	0.000126
委办局	n	19	0.000126
现代化	vn	19	0.000126
销售	v	19	0.000126
徐汇区	ns	19	0.000126
一定	b	19	0.000126
依托	v	19	0.000126
整体	n	19	0.000126
自我	rr	19	0.000126
最低	a	19	0.000126
9月	t	18	0.000119
帮困	vn	18	0.000119
补助	n	18	0.000119
财政性	n	18	0.000119
车辆	n	18	0.000119
承担	v	18	0.000119
床位	n	18	0.000119
发行	v	18	0.000119
奉贤	ns	18	0.000119
纲要	n	18	0.000119
工业化	vn	18	0.000119
阶段	n	18	0.000119
进入	v	18	0.000119
开放	v	18	0.000119
累计	v	18	0.000119
历年	n	18	0.000119
群体	n	18	0.000119
上缴	v	18	0.000119
审核	vn	18	0.000119
所得税	n	18	0.000119
同步	vd	18	0.000119
统一	a	18	0.000119
网格	n	18	0.000119
稳步	d	18	0.000119
我国	n	18	0.000119
物资	n	18	0.000119
下达	v	18	0.000119
学院	n	18	0.000119
营业员	n	18	0.000119
影响	v	18	0.000119
余额	n	18	0.000119
针对	p	18	0.000119
智能化	vn	18	0.000119
助理	n	18	0.000119
作为	p	18	0.000119
0.4亿	m	17	0.000112
——	wp	17	0.000112
薄弱	a	17	0.000112
编制	vn	17	0.000112
补充	v	17	0.000112
产值	n	17	0.000112
初步	d	17	0.000112
出让	v	17	0.000112
东亚	ns	17	0.000112
发展观	n	17	0.000112
法人	n	17	0.000112
方法	n	17	0.000112
购房	vn	17	0.000112
合理	ad	17	0.000112
交换	v	17	0.000112
经理	n	17	0.000112
举办	v	17	0.000112
科研	n	17	0.000112
空调	n	17	0.000112
宽带	n	17	0.000112
律师	n	17	0.000112
明确	ad	17	0.000112
平均	a	17	0.000112
签订	v	17	0.000112
人士	n	17	0.000112
认定	v	17	0.000112
尚未	d	17	0.000112
社会主义	n	17	0.000112
设计	v	17	0.000112
是否	v	17	0.000112
速度	n	17	0.000112
下属	v	17	0.000112
效能	n	17	0.000112
一体	n	17	0.000112
应当	v	17	0.000112
优先	vd	17	0.000112
有序	a	17	0.000112
预期	v	17	0.000112
债务	n	17	0.000112
整改	vn	17	0.000112
整合	v	17	0.000112
之间	f	17	0.000112
指数	n	17	0.000112
制造	vn	17	0.000112
总产值	n	17	0.000112
6月	t	16	0.000106
保安	b	16	0.000106
备注	n	16	0.000106
参政	vi	16	0.000106
层次	n	16	0.000106
长效	b	16	0.000106
抽查	vn	16	0.000106
筹措	v	16	0.000106
代理	vn	16	0.000106
第二产业	nl	16	0.000106
典型	a	16	0.000106
电力	n	16	0.000106
调入	v	16	0.000106
分类	vn	16	0.000106
扶持	v	16	0.000106
感谢	v	16	0.000106
集成	vn	16	0.000106
交流	vn	16	0.000106
进口	vn	16	0.000106
历史	n	16	0.000106
零售	vn	16	0.000106
配置	vn	16	0.000106
平衡	an	16	0.000106
青年	n	16	0.000106
设立	v	16	0.000106
申诉	v	16	0.000106
手续	n	16	0.000106
思想	n	16	0.000106
所属	vn	16	0.000106
所有	b	16	0.000106
特点	n	16	0.000106
统一	ad	16	0.000106
突破	vn	16	0.000106
细化	v	16	0.000106
衔接	vi	16	0.000106
显示	v	16	0.000106
选编	vn	16	0.000106
一般	a	16	0.000106
优化	vn	16	0.000106
优势	n	16	0.000106
娱乐	vn	16	0.000106
预期	vn	16	0.000106
制订	v	16	0.000106
终端	n	16	0.000106
状况	n	16	0.000106
准入	vn	16	0.000106
资质	n	16	0.000106
宝山区	ns	15	0.000099
产业链	n	15	0.000099
抽查	v	15	0.000099
创业	vn	15	0.000099
此外	c	15	0.000099
从业	b	15	0.000099
打造	v	15	0.000099
地点	n	15	0.000099
发生	v	15	0.000099
房管	vn	15	0.000099
高效	b	15	0.000099
各种	rz	15	0.000099
虹口区	ns	15	0.000099
会计师	n	15	0.000099
机场	n	15	0.000099
减去	v	15	0.000099
建筑	vn	15	0.000099
聚焦	vi	15	0.000099
口径	n	15	0.000099
清洁	a	15	0.000099
确认	v	15	0.000099
如何	ryv	15	0.000099
实际	a	15	0.000099
授权	v	15	0.000099
特色	n	15	0.000099
提取	v	15	0.000099
统计	vn	15	0.000099
透明	a	15	0.000099
突发	vn	15	0.000099
团体	n	15	0.000099
违规	vn	15	0.000099
下年	t	15	0.000099
相关	vi	15	0.000099
效率	n	15	0.000099
效应	n	15	0.000099
新政	n	15	0.000099
形势	n	15	0.000099
需要	n	15	0.000099
一般性	n	15	0.000099
一代	n	15	0.000099
依据	n	15	0.000099
营造	v	15	0.000099
整治	v	15	0.000099
中小	b	15	0.000099
注册	vn	15	0.000099
抓紧	vd	15	0.000099
10月	t	14	0.000093
2月	t	14	0.000093
布局	n	14	0.000093
成效	n	14	0.000093
传统	n	14	0.000093
从事	vi	14	0.000093
大会	n	14	0.000093
单一	a	14	0.000093
第一	m	14	0.000093
对口	vd	14	0.000093
发票	n	14	0.000093
分公司	n	14	0.000093
分中心	n	14	0.000093
附近	f	14	0.000093
告知	v	14	0.000093
工作	vi	14	0.000093
规范化	vn	14	0.000093
河道	n	14	0.000093
恢复	v	14	0.000093
奖励	vn	14	0.000093
接待	v	14	0.000093
进出口	vn	14	0.000093
进展	vn	14	0.000093
境外	s	14	0.000093
竞争力	n	14	0.000093
科学技术	n	14	0.000093
理念	n	14	0.000093
利率	n	14	0.000093
绿化	vn	14	0.000093
培养	v	14	0.000093
品牌	n	14	0.000093
请问	v	14	0.000093
趋势	n	14	0.000093
热线	n	14	0.000093
深度	n	14	0.000093
施工	vn	14	0.000093
使用费	n	14	0.000093
使用税	n	14	0.000093
收取	v	14	0.000093
违法	vn	14	0.000093
委托	vn	14	0.000093
限价	vn	14	0.000093
消防	b	14	0.000093
协调	vn	14	0.000093
拥有	v	14	0.000093
由于	p	14	0.000093
暂行	b	14	0.000093
执行数	n	14	0.000093
治理	vn	14	0.000093
主办	v	14	0.000093
资格	n	14	0.000093
资助	vn	14	0.000093
0.5亿	m	13	0.000086
10万	m	13	0.000086
比较	d	13	0.000086
餐饮	n	13	0.000086
查询	vn	13	0.000086
贷款	vn	13	0.000086
低收入	n	13	0.000086
地块	n	13	0.000086
电信	n	13	0.000086
分类	vd	13	0.000086
服务员	n	13	0.000086
干部	n	13	0.000086
供应	v	13	0.000086
公用	vn	13	0.000086
共同	d	13	0.000086
购置	v	13	0.000086
化解	v	13	0.000086
黄浦区	ns	13	0.000086
货物	n	13	0.000086
集成电路	n	13	0.000086
集聚	v	13	0.000086
集中	v	13	0.000086
计算	vn	13	0.000086
健康	a	13	0.000086
健康	an	13	0.000086
绝对值	n	13	0.000086
扣除	v	13	0.000086
框架	n	13	0.000086
困难	a	13	0.000086
老年人	n	13	0.000086
绿色	n	13	0.000086
门店	n	13	0.000086
民办	b	13	0.000086
纳税人	n	13	0.000086
批发	vn	13	0.000086
平衡	a	13	0.000086
全力	d	13	0.000086
生物	n	13	0.000086
事故	n	13	0.000086
数字化	vn	13	0.000086
所属	n	13	0.000086
铁路	n	13	0.000086
投资	n	13	0.000086
突破	v	13	0.000086
无线电	n	13	0.000086
消费品	n	13	0.000086
有力	a	13	0.000086
幼儿园	n	13	0.000086
援助	vn	13	0.000086
运作	vn	13	0.000086
展示	v	13	0.000086
占用	v	13	0.000086
正常	ad	13	0.000086
支农	vn	13	0.000086
支配	v	13	0.000086
支援	v	13	0.000086
指导	v	13	0.000086
中等	b	13	0.000086
中介	n	13	0.000086
助学	vn	13	0.000086
子女	n	13	0.000086
租金	n	13	0.000086
作出	v	13	0.000086
0.3亿	m	12	0.000079
0.9亿	m	12	0.000079
2006年	t	12	0.000079
备案	vi	12	0.000079
参加	v	12	0.000079
成交	vn	12	0.000079
筹办	v	12	0.000079
创造	v	12	0.000079
答复	vn	12	0.000079
大学生	n	12	0.000079
代理	v	12	0.000079
动迁	v	12	0.000079
督促	v	12	0.000079
额度	n	12	0.000079
返还	vn	12	0.000079
防范	vn	12	0.000079
复杂	a	12	0.000079
高速	b	12	0.000079
个人所得税	n	12	0.000079
广播	vn	12	0.000079
规划	v	12	0.000079
规划	vn	12	0.000079
核定	v	12	0.000079
化工	n	12	0.000079
会同	v	12	0.000079
机电	b	12	0.000079
技能	n	12	0.000079
今年	t	12	0.000079
进口	v	12	0.000079
立方米	q	12	0.000079
粮食	n	12	0.000079
每年	r	12	0.000079
能耗	n	12	0.000079
契机	n	12	0.000079
前台	n	12	0.000079
倾斜	vi	12	0.000079
全民	n	12	0.000079
生产	v	12	0.000079
什么	ry	12	0.000079
手段	n	12	0.000079
数量	n	12	0.000079
套房	n	12	0.000079
推广	vn	12	0.000079
