词语	词性	词频	一元概率
贷款	n	6	0.000443
登记	v	6	0.000443
地段	n	6	0.000443
管理	v	6	0.000443
合理	ad	6	0.000443
惠民	ns	6	0.000443
基础	n	6	0.000443
建筑业	n	6	0.000443
结转	v	6	0.000443
经纪	vn	6	0.000443
具有	v	6	0.000443
民生	n	6	0.000443
目标	n	6	0.000443
内容	n	6	0.000443
前期	f	6	0.000443
全面	ad	6	0.000443
确认	v	6	0.000443
群众	n	6	0.000443
社区	n	6	0.000443
设备	n	6	0.000443
申购	v	6	0.000443
施工	vi	6	0.000443
时间	n	6	0.000443
事务	n	6	0.000443
填写	v	6	0.000443
统筹	vd	6	0.000443
下同	vi	6	0.000443
现房	n	6	0.000443
新建	v	6	0.000443
业主	n	6	0.000443
预期	vn	6	0.000443
增速	n	6	0.000443
制定	v	6	0.000443
主动	ad	6	0.000443
追加	v	6	0.000443
资源	n	6	0.000443
000.00万	m	5	0.000369
958.63万	m	5	0.000369
办公室	n	5	0.000369
部分	n	5	0.000369
部署	vn	5	0.000369
出处	n	5	0.000369
出让	v	5	0.000369
创新	vi	5	0.000369
单身	n	5	0.000369
地价	n	5	0.000369
地区	n	5	0.000369
对于	p	5	0.000369
法律	n	5	0.000369
方案	n	5	0.000369
放弃	v	5	0.000369
规模	n	5	0.000369
国家	n	5	0.000369
合理	a	5	0.000369
或者	c	5	0.000369
监测	vn	5	0.000369
交付	v	5	0.000369
浇筑	v	5	0.000369
教育	vn	5	0.000369
接受	v	5	0.000369
进入	v	5	0.000369
科学技术	n	5	0.000369
控制	vn	5	0.000369
了解	v	5	0.000369
满足	v	5	0.000369
密切	ad	5	0.000369
拟订	v	5	0.000369
年收入	n	5	0.000369
朋友	n	5	0.000369
墙体	n	5	0.000369
人士	n	5	0.000369
散装	b	5	0.000369
上述	b	5	0.000369
身份证	n	5	0.000369
声明	n	5	0.000369
实际	n	5	0.000369
税务	n	5	0.000369
说明	v	5	0.000369
提供	v	5	0.000369
推荐	v	5	0.000369
委员会	n	5	0.000369
文件	n	5	0.000369
系列	q	5	0.000369
限价	vn	5	0.000369
相关	vi	5	0.000369
信用	n	5	0.000369
性质	n	5	0.000369
严肃	ad	5	0.000369
以上	f	5	0.000369
增加值	n	5	0.000369
重建	v	5	0.000369
重新	d	5	0.000369
住宅	n	5	0.000369
注明	v	5	0.000369
专题	n	5	0.000369
转让	v	5	0.000369
追究	v	5	0.000369
左右	m	5	0.000369
694.64万	m	4	0.000295
办公厅	n	4	0.000295
保证	v	4	0.000295
表示	v	4	0.000295
查询	v	4	0.000295
城镇	n	4	0.000295
筹措	v	4	0.000295
出现	v	4	0.000295
处理	v	4	0.000295
达到	v	4	0.000295
低位	n	4	0.000295
低于	v	4	0.000295
调查	vn	4	0.000295
调整	vn	4	0.000295
发现	v	4	0.000295
夫妻	n	4	0.000295
改变	v	4	0.000295
各类	r	4	0.000295
各区	r	4	0.000295
更加	d	4	0.000295
公开	ad	4	0.000295
构成	v	4	0.000295
关注	v	4	0.000295
国务院办公厅	nt	4	0.000295
过程	n	4	0.000295
过渡	vn	4	0.000295
号码	n	4	0.000295
回落	vi	4	0.000295
活动	vn	4	0.000295
季度	n	4	0.000295
坚持	v	4	0.000295
坚决	ad	4	0.000295
简称	v	4	0.000295
见证	n	4	0.000295
建筑	vn	4	0.000295
结合	v	4	0.000295
金融	n	4	0.000295
开发商	n	4	0.000295
利用	v	4	0.000295
领域	n	4	0.000295
民政	n	4	0.000295
目前	t	4	0.000295
配合	v	4	0.000295
棚户区	n	4	0.000295
平稳	ad	4	0.000295
区域	n	4	0.000295
全部	m	4	0.000295
全国	n	4	0.000295
人口	n	4	0.000295
如下	vi	4	0.000295
上市	vi	4	0.000295
设计	v	4	0.000295
申报	v	4	0.000295
事业	n	4	0.000295
适用	a	4	0.000295
市委	n	4	0.000295
双方	n	4	0.000295
水泥	n	4	0.000295
税收	n	4	0.000295
顺序	n	4	0.000295
所有权证	n	4	0.000295
同比	n	4	0.000295
网站	n	4	0.000295
为主	vi	4	0.000295
伪造	v	4	0.000295
未成年	n	4	0.000295
下列	b	4	0.000295
下属	v	4	0.000295
小区	n	4	0.000295
协调	v	4	0.000295
新型	b	4	0.000295
信贷	n	4	0.000295
行业	n	4	0.000295
验收	v	4	0.000295
依据	n	4	0.000295
以及	cc	4	0.000295
以来	f	4	0.000295
优先	vn	4	0.000295
优质	b	4	0.000295
运行	vn	4	0.000295
暂停	v	4	0.000295
征收	vn	4	0.000295
整改	vi	4	0.000295
证件	n	4	0.000295
支持	v	4	0.000295
支持	vn	4	0.000295
支付	v	4	0.000295
只能	v	4	0.000295
秩序	n	4	0.000295
治理	vn	4	0.000295
重大	a	4	0.000295
重点	n	4	0.000295
周岁	q	4	0.000295
逐步	d	4	0.000295
主管	vn	4	0.000295
子女	n	4	0.000295
字号	n	4	0.000295
200.00万	m	3	0.000221
2012年	t	3	0.000221
444.81万	m	3	0.000221
6月	t	3	0.000221
7万	m	3	0.000221
安排	v	3	0.000221
百姓	n	3	0.000221
办发	v	3	0.000221
办法	n	3	0.000221
报道	v	3	0.000221
比例	n	3	0.000221
标价	n	3	0.000221
参建	v	3	0.000221
产权	n	3	0.000221
长效	b	3	0.000221
超过	v	3	0.000221
成果	n	3	0.000221
成交	vn	3	0.000221
充分	ad	3	0.000221
处罚	vn	3	0.000221
处于	v	3	0.000221
村镇	n	3	0.000221
达标	vi	3	0.000221
当前	t	3	0.000221
低价位	n	3	0.000221
多渠道	d	3	0.000221
二手	b	3	0.000221
发放	v	3	0.000221
发生	v	3	0.000221
法规	n	3	0.000221
犯罪	vi	3	0.000221
房地产业	n	3	0.000221
房管	vn	3	0.000221
分析	vn	3	0.000221
改革	v	3	0.000221
钢筋	n	3	0.000221
杠杆	n	3	0.000221
高度	d	3	0.000221
个人所得税	n	3	0.000221
各方	r	3	0.000221
工商	n	3	0.000221
功能	n	3	0.000221
公平	ad	3	0.000221
官方	n	3	0.000221
广大	b	3	0.000221
国务院	nt	3	0.000221
很多	m	3	0.000221
狠抓	v	3	0.000221
机关	n	3	0.000221
夹心	b	3	0.000221
价款	n	3	0.000221
监控	vn	3	0.000221
检查	vn	3	0.000221
健康	ad	3	0.000221
健全	v	3	0.000221
交通	n	3	0.000221
阶段	n	3	0.000221
截至	v	3	0.000221
解除	v	3	0.000221
进展	vn	3	0.000221
尽早	d	3	0.000221
经营	vn	3	0.000221
就业	vi	3	0.000221
举措	n	3	0.000221
决策	vn	3	0.000221
均衡	a	3	0.000221
开发	v	3	0.000221
类似	a	3	0.000221
类型	n	3	0.000221
联动	vn	3	0.000221
流程	n	3	0.000221
落地	vi	3	0.000221
落实	vn	3	0.000221
矛盾	an	3	0.000221
名称	n	3	0.000221
能力	n	3	0.000221
批准	v	3	0.000221
平稳	a	3	0.000221
评估	vn	3	0.000221
权属	n	3	0.000221
全年	n	3	0.000221
人民	n	3	0.000221
如果	c	3	0.000221
软件	n	3	0.000221
少于	v	3	0.000221
申请	n	3	0.000221
审批	v	3	0.000221
生产	vn	3	0.000221
十八	m	3	0.000221
十一	m	3	0.000221
什么	ry	3	0.000221
事故	n	3	0.000221
属于	v	3	0.000221
思路	n	3	0.000221
虽然	c	3	0.000221
特别	d	3	0.000221
提升	v	3	0.000221
同步	vd	3	0.000221
投标	vn	3	0.000221
突破	vn	3	0.000221
网格	n	3	0.000221
围绕	v	3	0.000221
稳步	d	3	0.000221
县政府	n	3	0.000221
相比	vi	3	0.000221
相应	vi	3	0.000221
协调	vn	3	0.000221
刑事	b	3	0.000221
修改	v	3	0.000221
许可证	n	3	0.000221
序列	n	3	0.000221
严格	a	3	0.000221
研究所	n	3	0.000221
银行业	n	3	0.000221
引发	v	3	0.000221
优先	v	3	0.000221
有效	ad	3	0.000221
预警	vn	3	0.000221
再次	d	3	0.000221
造成	v	3	0.000221
责令	v	3	0.000221
增值	vn	3	0.000221
招标	vn	3	0.000221
这个	rz	3	0.000221
征求	v	3	0.000221
整合	v	3	0.000221
证明	v	3	0.000221
执法	vn	3	0.000221
执行	vn	3	0.000221
指标	n	3	0.000221
指导	v	3	0.000221
指南	n	3	0.000221
中介	n	3	0.000221
重视	v	3	0.000221
状况	n	3	0.000221
着力	vd	3	0.000221
资质	n	3	0.000221
做到	v	3	0.000221
作为	p	3	0.000221
作用	n	3	0.000221
113.88万	m	2	0.000148
12月	t	2	0.000148
15.42万	m	2	0.000148
16日	t	2	0.000148
17.59万	m	2	0.000148
22.71万	m	2	0.000148
2万	m	2	0.000148
305.33万	m	2	0.000148
33.89万	m	2	0.000148
7日	t	2	0.000148
894.11万	m	2	0.000148
930.51万	m	2	0.000148
安居工程	nl	2	0.000148
保修	vn	2	0.000148
报告	n	2	0.000148
本级	r	2	0.000148
不会	v	2	0.000148
部分	m	2	0.000148
采购	vn	2	0.000148
参与	v	2	0.000148
草案	n	2	0.000148
测试	vn	2	0.000148
查实	v	2	0.000148
差别化	vn	2	0.000148
差额	n	2	0.000148
差价	n	2	0.000148
拆迁	vn	2	0.000148
产生	v	2	0.000148
产业	n	2	0.000148
成绩	n	2	0.000148
承包	v	2	0.000148
持续	vd	2	0.000148
筹集	v	2	0.000148
出售	v	2	0.000148
出台	vi	2	0.000148
创新	vn	2	0.000148
从严	d	2	0.000148
存量	n	2	0.000148
打印	v	2	0.000148
大额	b	2	0.000148
带动	v	2	0.000148
贷款	vn	2	0.000148
当年	t	2	0.000148
得到	v	2	0.000148
地方	n	2	0.000148
调度	vn	2	0.000148
调节	vn	2	0.000148
调整	v	2	0.000148
调整期	n	2	0.000148
叠加	vi	2	0.000148
定价	n	2	0.000148
动态	n	2	0.000148
对外	vd	2	0.000148
多种	m	2	0.000148
发挥	v	2	0.000148
范围	n	2	0.000148
房改办	n	2	0.000148
分配	v	2	0.000148
复杂	a	2	0.000148
付款	vn	2	0.000148
高于	v	2	0.000148
工地	n	2	0.000148
供应	v	2	0.000148
公安	n	2	0.000148
公布	v	2	0.000148
公积金	n	2	0.000148
公平	a	2	0.000148
公平	an	2	0.000148
公用	vn	2	0.000148
公证	vn	2	0.000148
构件	n	2	0.000148
鼓励	v	2	0.000148
管理处	n	2	0.000148
广泛	ad	2	0.000148
规范	a	2	0.000148
规范	n	2	0.000148
规章	n	2	0.000148
国民经济	n	2	0.000148
核对	v	2	0.000148
核实	v	2	0.000148
合格	vi	2	0.000148
哄抬	v	2	0.000148
宏观	n	2	0.000148
后果	n	2	0.000148
后期	f	2	0.000148
环保	n	2	0.000148
缓解	v	2	0.000148
会同	v	2	0.000148
获得	v	2	0.000148
基本	ad	2	0.000148
基建	n	2	0.000148
稽查	vn	2	0.000148
集中	ad	2	0.000148
加快	vd	2	0.000148
监理	vn	2	0.000148
艰巨	a	2	0.000148
检测	v	2	0.000148
简化	v	2	0.000148
建议	n	2	0.000148
讲话	n	2	0.000148
降低	v	2	0.000148
交汇点	n	2	0.000148
交纳	v	2	0.000148
节能	vi	2	0.000148
结果	n	2	0.000148
借款人	n	2	0.000148
届时	d	2	0.000148
禁止	v	2	0.000148
近年	t	2	0.000148
近期	t	2	0.000148
京建	nr	2	0.000148
经过	p	2	0.000148
居住	vn	2	0.000148
巨大	a	2	0.000148
均衡	ad	2	0.000148
开始	v	2	0.000148
开拓	v	2	0.000148
抗震	vn	2	0.000148
空间	n	2	0.000148
扩建	vn	2	0.000148
来源	n	2	0.000148
老百姓	n	2	0.000148
离退休	vn	2	0.000148
立足	vi	2	0.000148
联网	vn	2	0.000148
连续	a	2	0.000148
媒体	n	2	0.000148
面对	v	2	0.000148
面临	v	2	0.000148
明码	n	2	0.000148
明确	ad	2	0.000148
明显	ad	2	0.000148
难题	n	2	0.000148
年底	t	2	0.000148
年末	t	2	0.000148
弄虚作假	vl	2	0.000148
努力	ad	2	0.000148
配售	vn	2	0.000148
骗取	v	2	0.000148
评价	vn	2	0.000148
起草	v	2	0.000148
企事业	n	2	0.000148
签约	vi	2	0.000148
前提	n	2	0.000148
抢险	vn	2	0.000148
清算	vn	2	0.000148
区分	v	2	0.000148
区间	n	2	0.000148
全程	n	2	0.000148
人力	n	2	0.000148
人民政府	nl	2	0.000148
日常	b	2	0.000148
融资	vi	2	0.000148
如何	ryv	2	0.000148
入住	v	2	0.000148
三中全会	n	2	0.000148
上年	t	2	0.000148
上市	vn	2	0.000148
社保	vn	2	0.000148
申报	vn	2	0.000148
申请人	n	2	0.000148
身份	n	2	0.000148
审查	vn	2	0.000148
审批	vn	2	0.000148
生产总值	n	2	0.000148
生活	vn	2	0.000148
生态	n	2	0.000148
剩余	vn	2	0.000148
十二	m	2	0.000148
十三	m	2	0.000148
十四	m	2	0.000148
十五	m	2	0.000148
时候	n	2	0.000148
时序	n	2	0.000148
实际	a	2	0.000148
实际	ad	2	0.000148
实施	vn	2	0.000148
实时	ad	2	0.000148
实体	n	2	0.000148
实行	v	2	0.000148
使用	vn	2	0.000148
使用权	n	2	0.000148
示范	vn	2	0.000148
事项	n	2	0.000148
是否	v	2	0.000148
适时	ad	2	0.000148
市属	b	2	0.000148
市政	n	2	0.000148
室内	s	2	0.000148
视频	n	2	0.000148
收益	n	2	0.000148
顺利	a	2	0.000148
私房	n	2	0.000148
损失	n	2	0.000148
所得	n	2	0.000148
所有	b	2	0.000148
态势	n	2	0.000148
探索	v	2	0.000148
特点	n	2	0.000148
提交	v	2	0.000148
体制	n	2	0.000148
条款	n	2	0.000148
停工	vi	2	0.000148
同意	v	2	0.000148
投机	vn	2	0.000148
投资	v	2	0.000148
完备	a	2	0.000148
网络	n	2	0.000148
危旧房	n	2	0.000148
违法	vd	2	0.000148
唯一	b	2	0.000148
为了	p	2	0.000148
委托	v	2	0.000148
位置	n	2	0.000148
卫生	an	2	0.000148
稳定	v	2	0.000148
稳中有进	vl	2	0.000148
我市	r	2	0.000148
污染	vn	2	0.000148
物业	n	2	0.000148
下达	v	2	0.000148
下降	vi	2	0.000148
先后	d	2	0.000148
闲置	vn	2	0.000148
显现	v	2	0.000148
限定	v	2	0.000148
限期	vd	2	0.000148
效益	n	2	0.000148
协调	ad	2	0.000148
形成	v	2	0.000148
形式	n	2	0.000148
需要	v	2	0.000148
虚假	a	2	0.000148
严重	a	2	0.000148
扬尘	n	2	0.000148
养护	vn	2	0.000148
一定	b	2	0.000148
一经	d	2	0.000148
一些	mq	2	0.000148
一样	uyy	2	0.000148
医疗	n	2	0.000148
遗失	v	2	0.000148
以后	f	2	0.000148
抑制	v	2	0.000148
因素	n	2	0.000148
隐瞒	v	2	0.000148
应该	v	2	0.000148
影响	v	2	0.000148
拥有	v	2	0.000148
由于	p	2	0.000148
有力	ad	2	0.000148
逾期	vi	2	0.000148
预计	v	2	0.000148
预制构件	nl	2	0.000148
原有	v	2	0.000148
约定	vn	2	0.000148
运营	vn	2	0.000148
在于	v	2	0.000148
造价	n	2	0.000148
责任制	n	2	0.000148
怎么办	ryv	2	0.000148
增长	vn	2	0.000148
增值税	n	2	0.000148
曾经	d	2	0.000148
掌握	v	2	0.000148
涨幅	n	2	0.000148
征管	vn	2	0.000148
整治	vn	2	0.000148
支出	vn	2	0.000148
之后	f	2	0.000148
之中	f	2	0.000148
执业	vn	2	0.000148
指数	n	2	0.000148
治理	v	2	0.000148
中长期	n	2	0.000148
中小	b	2	0.000148
重组	vn	2	0.000148
周边	n	2	0.000148
注册	vn	2	0.000148
注意	v	2	0.000148
专家	n	2	0.000148
专门	b	2	0.000148
转化	v	2	0.000148
转移	vn	2	0.000148
综合	vd	2	0.000148
综合	vn	2	0.000148
综合治理	vl	2	0.000148
总计	v	2	0.000148
总收入	n	2	0.000148
总书记	n	2	0.000148
租赁	vn	2	0.000148
组成	v	2	0.000148
0.84万	m	1	0.000074
035.56万	m	1	0.000074
039.67万	m	1	0.000074
064.66万	m	1	0.000074
073.25万	m	1	0.000074
083.42万	m	1	0.000074
090.90万	m	1	0.000074
1.1万亿	m	1	0.000074
1.2万	m	1	0.000074
1.65亿	m	1	0.000074
1.95万	m	1	0.000074
1000万	m	1	0.000074
10万	m	1	0.000074
148.04万	m	1	0.000074
153.36万	m	1	0.000074
161.96万	m	1	0.000074
1642.3亿	m	1	0.000074
16万	m	1	0.000074
1790.1亿	m	1	0.000074
17日	t	1	0.000074
183亿	m	1	0.000074
190.04万	m	1	0.000074
1974.5亿	m	1	0.000074
199.87万	m	1	0.000074
1日	t	1	0.000074
1月	t	1	0.000074
20.58万	m	1	0.000074
2015年	t	1	0.000074
20亿	m	1	0.000074
211.60万	m	1	0.000074
221.69万	m	1	0.000074
227.5亿	m	1	0.000074
22日	t	1	0.000074
244.78万	m	1	0.000074
246.00万	m	1	0.000074
3.64万	m	1	0.000074
30日	t	1	0.000074
332.2亿	m	1	0.000074
33万	m	1	0.000074
366.62万	m	1	0.000074
3万	m	1	0.000074
3月	t	1	0.000074
4.9万	m	1	0.000074
411.60万	m	1	0.000074
425.31万	m	1	0.000074
448.64万	m	1	0.000074
464.55万	m	1	0.000074
49.25万	m	1	0.000074
494.06万	m	1	0.000074
5.7万	m	1	0.000074
500亿	m	1	0.000074
507.55万	m	1	0.000074
518.06万	m	1	0.000074
524万	m	1	0.000074
572.21万	m	1	0.000074
588.31万	m	1	0.000074
5月	t	1	0.000074
5月份	t	1	0.000074
6.7万	m	1	0.000074
679.7万	m	1	0.000074
68.9亿	m	1	0.000074
6月份	t	1	0.000074
714.23万	m	1	0.000074
717.14万	m	1	0.000074
762.09万	m	1	0.000074
764.93万	m	1	0.000074
7725.9亿	m	1	0.000074
785.01万	m	1	0.000074
7月	t	1	0.000074
800.43万	m	1	0.000074
805.24万	m	1	0.000074
823.26万	m	1	0.000074
839.67万	m	1	0.000074
88.5万	m	1	0.000074
887.24万	m	1	0.000074
8月	t	1	0.000074
937.54万	m	1	0.000074
9769.3亿	m	1	0.000074
977.70万	m	1	0.000074
981.77万	m	1	0.000074
993.12万	m	1	0.000074
995.28万	m	1	0.000074
9日	t	1	0.000074
9月	t	1	0.000074
APEC	n	1	0.000074
[2013]	n	1	0.000074
——	wp	1	0.000074
阿拉伯	nsf	1	0.000074
安居	v	1	0.000074
安居	vn	1	0.000074
安居工程	n	1	0.000074
安全	ad	1	0.000074
安置	v	1	0.000074
安装	v	1	0.000074
按期	d	1	0.000074
暗藏	v	1	0.000074
百分之	m	1	0.000074
办事	vn	1	0.000074
包含	v	1	0.000074
薄弱	a	1	0.000074
保护	vn	1	0.000074
保尽保	nr	1	0.000074
保修	v	1	0.000074
报价	vn	1	0.000074
本报	rz	1	0.000074
本来	d	1	0.000074
本人	rr	1	0.000074
比较	v	1	0.000074
避免	v	1	0.000074
编制	n	1	0.000074
编制	vn	1	0.000074
便捷	a	1	0.000074
便民	vn	1	0.000074
变成	v	1	0.000074
辨别	v	1	0.000074
标段	n	1	0.000074
标示	vn	1	0.000074
标题	n	1	0.000074
并且	c	1	0.000074
并行	vn	1	0.000074
拨付	v	1	0.000074
补救	vn	1	0.000074
补贴	vn	1	0.000074
补助	n	1	0.000074
不必要	a	1	0.000074
不法	b	1	0.000074
不要	d	1	0.000074
不予	v	1	0.000074
不再	d	1	0.000074
不足	a	1	0.000074
布局	n	1	0.000074
步伐	n	1	0.000074
部队	n	1	0.000074
财务	n	1	0.000074
财政局	nt	1	0.000074
采购	v	1	0.000074
采光	vn	1	0.000074
采用	v	1	0.000074
参加	v	1	0.000074
参建	vn	1	0.000074
层次	n	1	0.000074
查看	v	1	0.000074
查找	v	1	0.000074
察看	v	1	0.000074
差异	n	1	0.000074
拆除	v	1	0.000074
产地	n	1	0.000074
产品	n	1	0.000074
产业化	vn	1	0.000074
场内	s	1	0.000074
场所	n	1	0.000074
常态	n	1	0.000074
常抓不懈	vl	1	0.000074
畅销	v	1	0.000074
城建	n	1	0.000074
成交	v	1	0.000074
成交量	n	1	0.000074
成就	n	1	0.000074
成立	vi	1	0.000074
成年	vn	1	0.000074
成片	vn	1	0.000074
成熟	a	1	0.000074
成效	n	1	0.000074
澄清	vi	1	0.000074
承办	v	1	0.000074
承包	vn	1	0.000074
承诺	vn	1	0.000074
持续	vi	1	0.000074
尺度	n	1	0.000074
初步	d	1	0.000074
初衷	n	1	0.000074
出具	v	1	0.000074
出来	vf	1	0.000074
出入	v	1	0.000074
储备	vn	1	0.000074
处理	vn	1	0.000074
处置	vn	1	0.000074
此前	t	1	0.000074
此外	c	1	0.000074
从事	vi	1	0.000074
促成	v	1	0.000074
错综复杂	vl	1	0.000074
搭建	v	1	0.000074
打击	v	1	0.000074
打破	v	1	0.000074
大胆	ad	1	0.000074
大队	n	1	0.000074
大家	rr	1	0.000074
大局	n	1	0.000074
大量	m	1	0.000074
大型	b	1	0.000074
大意	n	1	0.000074
带有	v	1	0.000074
代表	n	1	0.000074
待遇	n	1	0.000074
当代	t	1	0.000074
当时	t	1	0.000074
党中央	nt	1	0.000074
档案	n	1	0.000074
导致	v	1	0.000074
到位	vi	1	0.000074
等待	v	1	0.000074
等候	v	1	0.000074
等同	vi	1	0.000074
堤堰	n	1	0.000074
低收入	n	1	0.000074
地点	n	1	0.000074
地块	n	1	0.000074
地图	n	1	0.000074
地域	n	1	0.000074
第二	m	1	0.000074
第二产业	nl	1	0.000074
第三	m	1	0.000074
第三产业	nl	1	0.000074
第一产业	nl	1	0.000074
递补	v	1	0.000074
典型	a	1	0.000074
电力	n	1	0.000074
电梯	n	1	0.000074
调度	v	1	0.000074
调研	vn	1	0.000074
定额	n	1	0.000074
定价	vn	1	0.000074
定期	d	1	0.000074
定位	vd	1	0.000074
定位	vi	1	0.000074
动力	n	1	0.000074
短期	b	1	0.000074
多变	z	1	0.000074
